    energy      energy-dH0       rate(s-1)     lifetime(s)
   11920.0     1253.6      1.042836e3     9.589236e-4
   11930.0     1263.6      1.069837e3     9.347218e-4
   11940.0     1273.6      1.097503e3     9.111595e-4
   11950.0     1283.6      1.125840e3     8.882259e-4
   11960.0     1293.6      1.154763e3     8.659788e-4
   11970.0     1303.6      1.184157e3     8.444823e-4
   11980.0     1313.6      1.214176e3     8.236038e-4
   11990.0     1323.6      1.244735e3     8.033838e-4
   12000.0     1333.6      1.275983e3     7.837098e-4
   12010.0     1343.6      1.307934e3     7.645648e-4
   12020.0     1353.6      1.340482e3     7.460003e-4
   12030.0     1363.6      1.373495e3     7.280697e-4
   12040.0     1373.6      1.407116e3     7.106733e-4
   12050.0     1383.6      1.441312e3     6.938124e-4
   12060.0     1393.6      1.476247e3     6.773936e-4
   12070.0     1403.6      1.511951e3     6.613972e-4
   12080.0     1413.6      1.548374e3     6.458388e-4
   12090.0     1423.6      1.585393e3     6.307584e-4
   12100.0     1433.6      1.623190e3     6.160709e-4
   12110.0     1443.6      1.661684e3     6.017991e-4
   12120.0     1453.6      1.701055e3     5.878706e-4
   12130.0     1463.6      1.741309e3     5.742806e-4
   12140.0     1473.6      1.782375e3     5.610491e-4
   12150.0     1483.6      1.824126e3     5.482078e-4
   12160.0     1493.6      1.866703e3     5.357040e-4
   12170.0     1503.6      1.910042e3     5.235486e-4
   12180.0     1513.6      1.954273e3     5.116994e-4
   12190.0     1523.6      1.999381e3     5.001548e-4
   12200.0     1533.6      2.045308e3     4.889239e-4
   12210.0     1543.6      2.091970e3     4.780183e-4
   12220.0     1553.6      2.139506e3     4.673976e-4
   12230.0     1563.6      2.187858e3     4.570680e-4
   12240.0     1573.6      2.237175e3     4.469923e-4
   12250.0     1583.6      2.287468e3     4.371645e-4
   12260.0     1593.6      2.338696e3     4.275886e-4
   12270.0     1603.6      2.390747e3     4.182793e-4
   12280.0     1613.6      2.443778e3     4.092024e-4
   12290.0     1623.6      2.497708e3     4.003671e-4
   12300.0     1633.6      2.552687e3     3.917441e-4
   12310.0     1643.6      2.608727e3     3.833287e-4
   12320.0     1653.6      2.665787e3     3.751237e-4
   12330.0     1663.6      2.723759e3     3.671396e-4
   12340.0     1673.6      2.782801e3     3.593502e-4
   12350.0     1683.6      2.842843e3     3.517606e-4
   12360.0     1693.6      2.903988e3     3.443540e-4
   12370.0     1703.6      2.966246e3     3.371265e-4
   12380.0     1713.6      3.029552e3     3.300818e-4
   12390.0     1723.6      3.093798e3     3.232273e-4
   12400.0     1733.6      3.159138e3     3.165421e-4
   12410.0     1743.6      3.225559e3     3.100238e-4
   12420.0     1753.6      3.293219e3     3.036543e-4
   12430.0     1763.6      3.362117e3     2.974316e-4
   12440.0     1773.6      3.432207e3     2.913577e-4
   12450.0     1783.6      3.503354e3     2.854407e-4
   12460.0     1793.6      3.575754e3     2.796613e-4
   12470.0     1803.6      3.649384e3     2.740189e-4
   12480.0     1813.6      3.724416e3     2.684985e-4
   12490.0     1823.6      3.800820e3     2.631011e-4
   12500.0     1833.6      3.878521e3     2.578303e-4
   12510.0     1843.6      3.957378e3     2.526925e-4
   12520.0     1853.6      4.037528e3     2.476763e-4
   12530.0     1863.6      4.118987e3     2.427781e-4
   12540.0     1873.6      4.201885e3     2.379884e-4
   12550.0     1883.6      4.286190e3     2.333074e-4
   12560.0     1893.6      4.371837e3     2.287368e-4
   12570.0     1903.6      4.458733e3     2.242790e-4
   12580.0     1913.6      4.547011e3     2.199247e-4
   12590.0     1923.6      4.636698e3     2.156707e-4
   12600.0     1933.6      4.727947e3     2.115083e-4
   12610.0     1943.6      4.820729e3     2.074375e-4
   12620.0     1953.6      4.915020e3     2.034580e-4
   12630.0     1963.6      5.010687e3     1.995734e-4
   12640.0     1973.6      5.107868e3     1.957764e-4
   12650.0     1983.6      5.206576e3     1.920648e-4
